Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2000-01-31,1425.59,16.713333333333,49.096666666667,168.8,6.66,2111.1590179947,24.750808007504,72.707349649487,43.772578146938
2000-02-29,1388.87,16.736666666667,50.023333333333,169.8,6.52,2044.6673400324,24.63939441009,73.643376202395,42.185635887917
2000-03-31,1442.21,16.76,50.95,171.2,6.26,2105.8308850029,24.471974007009,74.39421692465,43.220748439966
2000-04-30,1461.36,16.74,51.273333333333,171.3,5.99,2132.5469509632,24.428502189142,74.822624586495,43.528574288508
2000-05-31,1418.48,16.72,51.596666666667,171.5,6.44,2067.5586653061,24.370862390671,75.206654494655,41.966050503324
2000-06-30,1461.96,16.7,51.92,172.4,6.1,2119.810199826,24.21463674594,75.282870649652,42.781971567071
2000-07-31,1473.0,16.583333333333,52.513333333333,172.8,6.05,2130.8739366319,23.989811800733,75.966933690201,42.75809361827
2000-08-31,1485.46,16.466666666667,53.106666666667,172.8,5.83,2148.8988444734,23.821039255401,76.825262635031,42.869565494419
2000-09-30,1468.05,16.35,53.7,173.7,5.8,2112.7094635147,23.529716105354,77.281085924007,41.898007924885
2000-10-31,1390.14,16.323333333333,52.466666666667,174.0,5.74,1997.1378400862,23.450837092912,75.375980363985,39.369699044201
2000-11-30,1378.04,16.296666666667,51.233333333333,174.1,5.72,1978.6172978173,23.399078810071,73.561841135363,38.782142456785
2000-12-31,1330.93,16.27,50.0,174.0,5.24,1912.0740828305,23.374216020115,71.832255747126,37.274238004497
2001-01-31,1335.63,16.17,48.48,175.1,5.16,1906.7720090662,23.084614291833,69.211014277556,36.97886799703
2001-02-28,1305.75,16.07,46.96,175.8,5.1,1856.6921981655,22.850502488623,66.774088168373,35.834662651431
2001-03-31,1185.85,15.97,45.44,176.2,4.89,1682.3742114784,22.65675773269,64.466065834279,32.325837236179
2001-04-30,1189.84,15.876666666667,42.556666666667,176.9,5.14,1681.3552362917,22.435215352365,60.136551417939,32.173901168361
2001-05-31,1270.37,15.783333333333,39.673333333333,177.7,5.39,1787.0699421075,22.202917721816,55.809741652598,34.07464321714
2001-06-30,1238.71,15.69,36.79,178.0,5.28,1739.5959586376,22.034423384831,51.666439536517,33.068534411113
2001-07-31,1204.45,15.706666666667,33.963333333333,177.5,5.24,1696.2472919014,22.119964131455,47.831136361502,32.163038687444
2001-08-31,1178.5,15.723333333333,31.136666666667,177.5,4.97,1659.7014683099,22.143436079812,43.850293920188,31.40431876078
2001-09-30,1044.64,15.74,28.31,178.3,4.73,1464.5832293887,22.067449102636,39.69056442793,27.667392586862
2001-10-31,1076.59,15.74,27.103333333333,177.7,4.57,1514.4734439364,22.141959341587,38.12712228006,28.57737311336
2001-11-30,1129.68,15.74,25.896666666667,177.4,4.65,1591.8442508455,22.179403466742,36.491271819805,30.005103811057
2001-12-31,1144.93,15.74,24.69,176.7,5.09,1619.7244364035,22.26726754386,34.928769736842,30.49995325502
2002-01-31,1140.21,15.736666666667,24.693333333333,177.1,5.04,1609.4038397092,22.212269456992,34.854584227367,30.277204433096
2002-02-28,1100.67,15.733333333333,24.696666666667,177.8,4.91,1547.4767102784,22.120133108361,34.722047923697,29.085704152008
2002-03-31,1153.79,15.73,24.7,178.8,5.28,1613.0877935543,21.991758459172,34.532513282998,30.292130640919
2002-04-30,1111.93,15.833333333333,25.38,179.8,5.21,1545.9181961207,22.013110632184,35.285857758621,29.005883253119
2002-05-31,1079.25,15.936666666667,26.06,179.8,5.16,1500.4831357759,22.156775143678,36.231262931034,28.128107508688
2002-06-30,1014.02,16.04,26.74,179.9,4.93,1409.0101001946,22.288043635353,37.156002918288,26.387672541183
2002-07-31,903.59,15.96,27.84,180.1,4.65,1254.1701262493,22.152254025541,38.641525818989,23.463120467431
2002-08-31,912.55,15.88,28.94,180.7,4.26,1262.4008131572,21.96802905368,40.034934560044,23.588713528842
2002-09-30,867.81,15.8,30.04,181.0,3.87,1198.5187265884,21.82113121547,41.487770994475,22.365036801224
2002-10-31,854.63,15.89,29.223333333333,181.3,3.94,1178.3629483591,21.90911534749,40.293101374334,21.956233863659
2002-11-30,909.93,15.98,28.406666666667,181.3,4.05,1254.6105304054,22.033207253172,39.167082230189,23.348396502725
2002-12-31,899.18,16.07,27.59,180.9,4.03,1242.5298202045,22.206292634052,38.125178206191,23.101442537686
2003-01-31,895.84,16.12,28.5,181.7,4.05,1232.4640825537,22.177309576225,39.209263208586,22.898348576613
2003-02-28,837.03,16.17,29.41,183.1,3.9,1142.7505217777,22.076001979792,40.151837861824,21.214102123415
2003-03-31,846.63,16.22,30.32,184.2,3.81,1148.9543568811,22.012023751357,41.147013572204,21.309719026991
2003-04-30,890.03,16.203333333333,31.73,183.8,3.96,1210.48074966,22.037260632028,43.154224224701,22.427939577731
2003-05-31,935.96,16.186666666667,33.14,183.5,3.57,1275.0287245232,22.050584377838,45.145574523161,23.591080453481
2003-06-30,988.0,16.17,34.55,183.7,3.33,1344.4558247142,22.00389745509,47.015130307567,24.832223259531
2003-07-31,992.54,16.31,35.893333333333,183.9,3.98,1349.1649112289,22.170269915715,48.789999274968,24.867329101269
2003-08-31,989.53,16.45,37.236666666667,184.6,4.45,1339.9729071641,22.275781757855,50.424064441134,24.642251409932
2003-09-30,1019.44,16.59,38.58,185.2,4.27,1376.0031765659,22.392580926026,52.073886204104,25.243686752606
2003-10-31,1038.73,16.856666666667,41.966666666667,185.0,4.29,1403.5558387162,22.777115247748,56.706324099099,25.68275607058
2003-11-30,1049.9,17.123333333333,45.353333333333,184.5,4.3,1422.4935765583,23.200144467028,61.448543044264,25.94679821842
2003-12-31,1080.64,17.39,48.74,184.3,4.27,1465.7316049919,23.58701566739,66.108748914813,26.635170511082
2004-01-31,1132.52,17.6,49.826666666667,185.2,4.15,1528.6344635529,23.755842332613,67.254229391649,27.658540355737
2004-02-29,1143.36,17.81,50.913333333333,186.2,4.08,1534.9776863588,23.910188037057,68.351901942356,27.65086203674
2004-03-31,1123.98,18.02,52.0,187.4,3.83,1499.2972544023,24.037203975454,69.363740661686,26.886530384036
2004-04-30,1133.36,18.213333333333,53.383333333333,188.0,4.35,1506.9844824468,24.217557269504,70.981731272163,26.900577508445
2004-05-31,1102.78,18.406666666667,54.766666666667,189.1,4.72,1457.793807377,24.332255464481,72.397493169399,25.902814292944
2004-06-30,1132.76,18.6,56.15,189.7,4.73,1492.6889665261,24.510059304164,73.991388705851,26.401285366475
2004-07-31,1105.85,18.786666666667,56.69,189.4,4.5,1459.5366212381,24.795250703977,74.821296792503,25.695888646269
2004-08-31,1088.94,18.973333333333,57.23,189.5,4.28,1436.4598294195,25.028404837291,75.494146635884,25.174462226478
2004-09-30,1117.66,19.16,57.77,189.9,4.13,1471.2398924434,25.221405739863,76.04596083465,25.668406776358
2004-10-31,1117.21,19.253333333333,58.03,190.9,4.1,1462.9437729832,25.211503754147,75.988065937664,25.411655665489
2004-11-30,1168.94,19.346666666667,58.29,191.0,4.19,1529.8808255236,25.320456457243,76.28856341623,26.465310814818
2004-12-31,1199.21,19.44,58.55,190.3,4.23,1575.2707239228,25.536197057278,76.910716960063,27.144808694741
2005-01-31,1181.41,19.703333333333,59.106666666667,190.7,4.22,1548.6336733744,25.827820551477,77.47909220416,26.58725069797
2005-02-28,1199.63,19.966666666667,59.663333333333,191.8,4.17,1563.4984816867,26.022901242614,77.760251976886,26.744863128101
2005-03-31,1194.9,20.23,60.22,193.3,4.5,1545.2489452923,26.161508212623,77.876718960166,26.339142131058
2005-04-30,1164.43,20.463333333333,61.233333333333,194.6,4.34,1495.7854305627,26.286471372902,78.65816568174,25.408922569114
2005-05-31,1178.28,20.696666666667,62.246666666667,194.4,4.14,1515.1338263889,26.61355514832,80.042120927641,25.650230187183
2005-06-30,1202.25,20.93,63.26,194.5,4.0,1545.1616789846,26.899757904884,81.303329434447,26.068394871884
2005-07-31,1222.24,21.11,64.33,195.4,4.18,1563.6180747185,27.006134275844,82.297708098772,26.287871091255
2005-08-31,1224.27,21.29,65.4,196.4,4.26,1558.2404459649,27.097730969959,83.240563900204,26.104381410936
