,Description,Title,Published At
0,Donald Trump has indicated he could abandon his steel tariff if other countries agreed to trade changes as his allies cleared the way for a possible change of mind.,Trump links steel tariff to new Nafta deal,2018-03-05T22:10:25Z
1,President Trump said an exemption from his proposed steel and aluminum tariff plan for countries like Canada and Mexico could be considered if a deal on NAFTA is reached.,"Trump talks tariffs plan, exemptions at Cabinet meeting",2018-03-08T17:49:17Z
2,President Donald Trump is considering slapping tariffs on imported cars and trucks. Some countries would stand to lose a lot from a tariff on vehicles. More »,Trump wants to slap massive tariffs on imported cars and trucks -- here's who would lose the most,2018-05-24T09:01:35Z
3,"‘We have to protect our interests, there’s no doubt about that.’",Canadian NAFTA Advisor Advocates Trade War If Trump Resorts To Tariffs,2018-05-26T23:32:05Z
4,A new Commerce Department investigation into foreign car imports is supposed to set up a win-lose scenario for the US in NAFTA negotiations. The problem is that's not how trade deals work. More »,There's a fatal flaw at the heart of Trump's auto tariff strategy,2018-05-24T10:23:12Z
5,A new Commerce Department investigation into foreign car imports is supposed to set up a win-lose scenario for the US in NAFTA negotiations. The problem is that's not how trade deals work. Canada and Mexico have already threatened to walk away from negotiatio…,There’s a fatal flaw at the heart of Trump's auto tariff strategy,2018-05-24T20:23:12Z
6,"Toronto Star Trump considering 25 percent tax on car imports, citing national security Politico President Donald Trump wants to put a 25 percent tariff on imports of automobiles under a similar authority that allowed him to slap duties on imports of steel and…","Trump considering 25 percent tax on car imports, citing national security - Politico",2018-05-23T23:40:15Z
7,‘I have a feeling we’re going to make a deal on NAFTA.’,Trump Upbeat On NAFTA Talks,2018-03-10T15:43:26Z
8,"WASHINGTON — Prime Minister Justin Trudeau has spoken by phone with U.S. President Donald Trump about the threat of tariffs. Trudeau called his American counterpart, who is preparing an announcement within days on major steel and aluminum tariffs. Sources say…","Justin Trudeau Called Donald Trump To Talk About Steel, Aluminum Tariffs And NAFTA",2018-03-06T01:39:00Z
9,"President Donald Trump is considering slapping tariffs on imported cars and trucks. Some countries would stand to lose a lot from a tariff on vehicles. The biggest losers from a auto tariff would all be US allies: Mexico, Canada, Japan, Germany, and South Kor…",Trump wants to slap massive tariffs on imported cars and trucks — here's who would lose the most,2018-05-24T19:01:35Z
10,"First it threatens a trade war, then it shifts to peace and then back again to threat of tariffs.",How the Trump administration can stop the wild roller coaster of its China trade policy,2018-05-29T20:50:13Z
11,"“Massive relocation of companies & jobs. Tariffs on Steel and Aluminum will only come off if new & fair NAFTA agreement is signed""","Trump: Tariffs will ‘come off’ if Mexico, Canada sign ‘new & fair’ NAFTA deal",2018-03-05T14:11:58Z
12,the Trump administration has offered to exclude Canada and Mexico from tariffs on steel and aluminum as an incentive to reach a deal on a new NAFTA before a string of elections make it difficult.,U.S. offers Canada-Mexico tariff waiver to ease NAFTA path,2018-03-06T12:21:45Z
13,"President Trump said Monday that he will only remove the tariffs he announced last week on steel and aluminum imports if the U.S. negotiates ""a new & fair"" North American Free Trade Agreement (NAFTA).","Trump: Tariffs will ‘come off’ if Mexico, Canada sign ‘new & fair’ NAFTA deal",2018-03-05T12:16:14Z
14,"While President Donald Trump’s tariff gambit spared his Nafta partners for now, Canada and Mexico are pledging it won’t make them budge at the bargaining table.","Canada, Mexico Stick to Nafta Plan After Trump’s Tariff Reprieve",2018-03-09T20:04:45Z
15,"President Donald Trump has granted Canada, Mexico, and the European Union a 30-day extension to existing exemptions on steel and aluminum tariffs.

In addition, the U.S. has granted Australia, Argentina, and Brazil permanent exemptions from the tariffs. Sou…","Trump extends steel, aluminum tariff exemptions for Canada, Mexico, EU",2018-05-01T14:19:22Z
16,His proposed steel and aluminum tariffs may hit a roadblock at the NAFTA talks,Trump Says He’ll Only Cancel His Trade Tariffs If the U.S. Gets a New NAFTA Deal,2018-03-05T12:47:32Z
17,"President Donald Trump said Monday that North American neighbors Canada and Mexico will get no relief from his new tariffs on steel and aluminum imports unless a ""new and fair"" free trade agreement is signed.","Trump links tariff relief for Canada, Mexico if ‘new and fair’ NAFTA deal is signed",2018-03-05T14:26:55Z
18,Canadian Prime Minister Justin Trudeau has a message for Donald Trump on Nafta: Canada would rather see a trade deal die altogether than accept certain hardline demands.,"Canada Would Rather Have No Nafta Than a Bad Deal, Trudeau Says",2018-05-29T20:14:04Z
19,"Trump put the proposed tariffs of ten percent on aluminum and 25 percent on steel in the context of NAFTA, working with Mexico and Canada to renegotiate the free trade deal.",Donald Trump: ‘We’re Not Backing Down’ on Tariffs,2018-03-05T18:26:49Z
